1;123;3;0.06
2;287;11;0.01
3;172;10;0.01
4;308;1;0.1
5;537;4;0.04
6;225;6;0.02
7;311;6;0.02
8;519;7;0.01
9;326;7;0.01
10;497;6;0.02
11;322;8;0.01
12;359;9;0.01
13;575;5;0.03
14;280;4;0.04
15;222;10;0.01
16;623;3;0.06
17;375;9;0.01
18;345;8;0.01
19;234;7;0.01
20;336;7;0.01
21;627;2;0.08
22;403;9;0.01
23;335;10;0.01
24;553;3;0.06
25;588;1;0.1
26;440;3;0.06
27;252;10;0.01
28;369;11;0.01
29;482;3;0.06
30;90;8;0.01
31;624;6;0.02
32;497;6;0.02
33;532;1;0.1
34;316;8;0.01
35;524;2;0.08
36;542;11;0.01
37;76;4;0.04
38;325;2;0.08
39;119;1;0.1
40;560;4;0.04
41;274;3;0.06
42;319;2;0.08
43;170;7;0.01
44;423;11;0.01
45;621;9;0.01
46;698;6;0.02
47;330;6;0.02
48;411;4;0.04
49;169;1;0.1
50;440;7;0.01
51;63;10;0.01
52;698;7;0.01
53;428;7;0.01
54;598;8;0.01
55;72;5;0.03
56;612;10;0.01
57;355;3;0.06
58;684;8;0.01
59;72;1;0.1
60;266;8;0.01
61;316;11;0.01
62;153;7;0.01
63;479;10;0.01
64;332;11;0.01
65;558;1;0.1
66;51;6;0.02
67;502;10;0.01
68;451;1;0.1
69;495;8;0.01
70;592;8;0.01
71;187;11;0.01
72;631;11;0.01
73;433;5;0.03
74;361;9;0.01
75;199;2;0.08
76;244;9;0.01
77;194;4;0.04
78;635;2;0.08
79;476;8;0.01
80;499;9;0.01
81;67;3;0.06
82;601;2;0.08
83;66;9;0.01
84;419;5;0.03
85;470;8;0.01
86;675;9;0.01
87;676;7;0.01
88;389;2;0.08
89;518;7;0.01
90;55;10;0.01
91;242;1;0.1
92;88;7;0.01
93;362;6;0.02
94;566;10;0.01
95;670;9;0.01
96;100;6;0.02
97;460;9;0.01
98;145;3;0.06
99;690;6;0.02
100;657;5;0.03
101;99;3;0.06
102;547;6;0.02
103;272;5;0.03
104;200;1;0.1
105;198;1;0.1
106;148;3;0.06
107;202;10;0.01
108;389;5;0.03
109;600;9;0.01
110;546;8;0.01
111;250;9;0.01
112;64;4;0.04
113;315;9;0.01
114;425;8;0.01
115;76;5;0.03
116;56;1;0.1
117;302;5;0.03
118;512;3;0.06
119;310;8;0.01
120;690;2;0.08
121;61;6;0.02
122;246;8;0.01
123;604;6;0.02
